Date,Value,Anomaly
1970,51.59,-0.39
1971,51.52,-0.46
1972,51.59,-0.39
1973,51.53,-0.45
1974,51.88,-0.1
1975,51.8,-0.18
1976,51.99,0.01
1977,51.84,-0.14
1978,51.87,-0.11
1979,51.39,-0.59
1980,51.62,-0.36
1981,51.77,-0.21
1982,51.78,-0.2
1983,51.91,0
1984,52.18,0.2
1985,52.14,0.16
1986,52.01,0.03
1987,52.32,0.34
1988,52.43,0.45
1989,52.58,0.6
1990,52.71,0.73
1991,52.85,0.87
1992,52.88,0.9
1993,52.6,0.62
1994,52.51,0.53
1995,52.52,0.54
1996,52.33,0.35
1997,52,0.09
1998,52.48,0.5
1999,52.88,0.9
2000,53.22,1.24
2001,53.21,1.23
2002,53.63,1.65
2003,53.54,1.56
2004,53.4,1.42
2005,53.17,1.19
2006,53.62,1.64
2007,53.47,1.49
2008,53.5,1.52
2009,53.35,1.37
2010,53.15,1.17
2011,52.81,0.83
2012,53.24,1.26